# lon lat uLOS sigLOS losE losN losU
84.92542000 27.74541700 0.04689011 0.03942852 0.69860000 -0.12071000 0.70526000
84.92542000 27.79625000 0.13676340 0.06795988 0.69899000 -0.12069000 0.70487000
84.97292000 27.78375000 0.27722720 0.03784753 0.69587000 -0.12045000 0.70799000
84.97292000 27.80875000 0.31346903 0.04361334 0.69599000 -0.12042000 0.70788000
85.00458000 27.80875000 0.45608997 0.05359647 0.69383000 -0.12024000 0.71003000
85.00458000 27.78375000 0.39086404 0.06093460 0.69368000 -0.12026000 0.71018000
84.97292000 27.73291700 0.07160239 0.02904082 0.69568000 -0.12051000 0.70817000
84.97292000 27.75791700 0.18446225 0.06426453 0.69557000 -0.12045000 0.70829000
85.00458000 27.75791700 0.28077838 0.05145659 0.69333000 -0.12022000 0.71052000
85.00458000 27.73291700 0.15803027 0.03222693 0.69342000 -0.12031000 0.71041000
84.63792000 27.41458300 -0.06812323 0.01986551 0.71295000 -0.12214000 0.69049000
84.63792000 27.61791700 -0.00169823 0.02676261 0.71529000 -0.12218000 0.68806000
84.89292000 27.61791700 -0.02544073 0.02398471 0.69908000 -0.12085000 0.70476000
84.89292000 27.41458300 -0.06932069 0.01959396 0.69626000 -0.12073000 0.70757000
85.14875000 27.41458300 -0.04577597 0.01964839 0.67866000 -0.11906000 0.72474000
85.08458000 27.56708300 -0.01470172 0.02135528 0.68587000 -0.11973000 0.71781000
85.05292000 27.64375000 0.02270369 0.02128344 0.68917000 -0.11999000 0.71459000
85.05292000 27.69458300 0.14468405 0.05186069 0.68941000 -0.11994000 0.71437000
85.11708000 27.69458300 0.23106412 0.06873880 0.68555000 -0.11963000 0.71812000
85.11708000 27.64375000 0.08322053 0.04863543 0.68455000 -0.11954000 0.71910000
85.18125000 27.64375000 0.15328075 0.01775072 0.68018000 -0.11913000 0.72331000
85.16542000 27.68208300 0.22478433 0.05276923 0.68191000 -0.11929000 0.72164000
85.16542000 27.70708300 0.38524579 0.04862286 0.68167000 -0.11920000 0.72189000
85.19708000 27.70708300 0.45287790 0.04123442 0.67950000 -0.11899000 0.72396000
85.19708000 27.68208300 0.28261572 0.06421370 0.67949000 -0.11903000 0.72396000
85.22875000 27.68208300 0.40879413 0.06212695 0.67697000 -0.11877000 0.72636000
85.22875000 27.70708300 0.51938672 0.05574671 0.67732000 -0.11878000 0.72604000
85.26042000 27.70708300 0.58615527 0.05578218 0.67497000 -0.11856000 0.72826000
85.26042000 27.68208300 0.45701691 0.03380458 0.67460000 -0.11854000 0.72860000
85.24458000 27.64375000 0.16291791 0.05243311 0.67566000 -0.11869000 0.72760000
85.21292000 27.56708300 0.02596050 0.04881694 0.67650000 -0.11879000 0.72680000
85.30875000 27.54208300 0.03700864 0.02403527 0.66949000 -0.11814000 0.73336000
85.30875000 27.59291700 0.13999426 0.04972401 0.66984000 -0.11812000 0.73305000
85.37208000 27.59291700 0.18974443 0.06182682 0.66522000 -0.11764000 0.73732000
85.37208000 27.54208300 0.08423655 0.02669682 0.66468000 -0.11763000 0.73781000
85.29292000 27.63125000 0.20841956 0.04180870 0.67145000 -0.11824000 0.73156000
85.29292000 27.65625000 0.36441333 0.05523408 0.67182000 -0.11826000 0.73122000
85.32458000 27.65625000 0.39015656 0.04000868 0.66952000 -0.11803000 0.73335000
85.32458000 27.63125000 0.27865710 0.04528950 0.66918000 -0.11802000 0.73367000
85.29292000 27.68208300 0.48253842 0.05514642 0.67221000 -0.11830000 0.73085000
85.29292000 27.70708300 0.63086572 0.07411089 0.67258000 -0.11831000 0.73051000
85.32458000 27.70708300 0.66129376 0.02948993 0.67025000 -0.11808000 0.73268000
85.32458000 27.68208300 0.53983496 0.04640141 0.66988000 -0.11805000 0.73303000
85.35625000 27.68208300 0.58114972 0.06810193 0.66753000 -0.11782000 0.73520000
85.35625000 27.70708300 0.73337781 0.06254552 0.66793000 -0.11784000 0.73484000
85.38792000 27.70708300 0.81203699 0.05764408 0.66557000 -0.11760000 0.73701000
85.38792000 27.68208300 0.63933447 0.05733329 0.66519000 -0.11758000 0.73735000
85.35625000 27.63125000 0.33251614 0.04578813 0.66682000 -0.11778000 0.73586000
85.35625000 27.65625000 0.44538556 0.03396289 0.66716000 -0.11780000 0.73554000
85.38792000 27.65625000 0.50270544 0.05248542 0.66481000 -0.11755000 0.73770000
85.38792000 27.63125000 0.36992328 0.05253171 0.66448000 -0.11753000 0.73801000
85.42042000 27.63125000 0.39967648 0.05099979 0.66210000 -0.11729000 0.74018000
85.42042000 27.65625000 0.53971497 0.05630685 0.66241000 -0.11730000 0.73990000
85.45208000 27.65625000 0.57422595 0.07482133 0.65997000 -0.11704000 0.74212000
85.45208000 27.63125000 0.41929642 0.05411525 0.65986000 -0.11707000 0.74221000
85.42042000 27.68208300 0.72475104 0.06591589 0.66274000 -0.11732000 0.73960000
85.42042000 27.70708300 0.86412085 0.04359578 0.66314000 -0.11735000 0.73924000
85.45208000 27.70708300 0.90056653 0.04412298 0.66085000 -0.11712000 0.74133000
85.45208000 27.68208300 0.77636548 0.05466435 0.66035000 -0.11708000 0.74178000
85.48375000 27.68208300 0.80350977 0.04980255 0.65798000 -0.11681000 0.74392000
85.48375000 27.70708300 0.91964746 0.03857530 0.65846000 -0.11686000 0.74349000
85.51542000 27.70708300 0.97018225 0.02394949 0.65620000 -0.11664000 0.74552000
85.51542000 27.68208300 0.83336829 0.04747413 0.65582000 -0.11661000 0.74585000
85.48375000 27.63125000 0.44907477 0.05093391 0.65730000 -0.11678000 0.74453000
85.48375000 27.65625000 0.62371240 0.08468659 0.65758000 -0.11678000 0.74428000
85.51542000 27.65625000 0.66824817 0.07416943 0.65518000 -0.11654000 0.74643000
85.51542000 27.63125000 0.51103909 0.05367793 0.65479000 -0.11651000 0.74678000
85.43625000 27.54208300 0.09495618 0.03286162 0.66032000 -0.11721000 0.74178000
85.42042000 27.58041700 0.16235649 0.04969410 0.66163000 -0.11729000 0.74060000
85.42042000 27.60541700 0.27175778 0.04407355 0.66185000 -0.11729000 0.74041000
85.45208000 27.60541700 0.29151166 0.04148060 0.65943000 -0.11703000 0.74260000
85.45208000 27.58041700 0.18577115 0.03851544 0.65918000 -0.11703000 0.74282000
85.48375000 27.58041700 0.20602521 0.03663081 0.65658000 -0.11673000 0.74517000
85.48375000 27.60541700 0.32464435 0.03552979 0.65696000 -0.11675000 0.74483000
85.51542000 27.60541700 0.37180631 0.05014350 0.65451000 -0.11650000 0.74703000
85.51542000 27.58041700 0.25715356 0.03202277 0.65401000 -0.11645000 0.74747000
85.49958000 27.54208300 0.13053029 0.05425798 0.65480000 -0.11656000 0.74676000
85.40375000 27.41458300 -0.01395619 0.02492604 0.65962000 -0.11709000 0.74242000
85.03708000 27.73291700 0.26914887 0.04874017 0.69101000 -0.12007000 0.71280000
85.03708000 27.75791700 0.37414529 0.04986813 0.69102000 -0.12002000 0.71280000
85.06875000 27.75791700 0.47606369 0.05082500 0.68888000 -0.11983000 0.71491000
85.06875000 27.73291700 0.34027338 0.04696478 0.68867000 -0.11985000 0.71511000
85.05292000 27.79625000 0.57819092 0.06981161 0.69044000 -0.11995000 0.71337000
85.11708000 27.79625000 0.70071118 0.03393973 0.68655000 -0.11962000 0.71718000
85.10125000 27.73291700 0.42109219 0.04501155 0.68650000 -0.11965000 0.71722000
85.10125000 27.75791700 0.53112067 0.03606305 0.68685000 -0.11967000 0.71688000
85.13292000 27.75708300 0.63452228 0.05156789 0.68453000 -0.11943000 0.71914000
85.13292000 27.73291700 0.47051562 0.06894069 0.68413000 -0.11941000 0.71952000
85.05292000 27.84708300 0.60871668 0.06184842 0.69107000 -0.11995000 0.71276000
85.05208000 27.89791700 0.51609894 0.02789046 0.69202000 -0.12003000 0.71183000
85.11708000 27.89791700 0.59128870 0.06925193 0.68750000 -0.11961000 0.71627000
85.11708000 27.84625000 0.73111151 0.01958838 0.68680000 -0.11959000 0.71694000
85.18125000 27.84708300 0.72038141 0.03079992 0.68233000 -0.11915000 0.72127000
85.18125000 27.89791700 0.57793689 0.06087094 0.68282000 -0.11917000 0.72080000
85.24458000 27.89791700 0.51677081 0.06611769 0.67844000 -0.11876000 0.72499000
85.24458000 27.84708300 0.68530072 0.06139479 0.67810000 -0.11877000 0.72531000
85.16542000 27.73291700 0.53639673 0.05527849 0.68185000 -0.11920000 0.72171000
85.16542000 27.75791700 0.67908600 0.05101866 0.68239000 -0.11925000 0.72120000
85.19708000 27.75791700 0.73709583 0.04476854 0.68018000 -0.11903000 0.72331000
85.19708000 27.73291700 0.60551782 0.04444006 0.67974000 -0.11900000 0.72373000
85.18125000 27.79625000 0.75918445 0.02686117 0.68181000 -0.11916000 0.72176000
85.24458000 27.79625000 0.83201416 0.06151632 0.67748000 -0.11877000 0.72589000
85.22875000 27.73291700 0.64797595 0.02711884 0.67765000 -0.11881000 0.72573000
85.22958000 27.75791700 0.78165442 0.05686210 0.67797000 -0.11882000 0.72542000
85.26042000 27.75791700 0.83828345 0.04839877 0.67583000 -0.11863000 0.72745000
85.26042000 27.73291700 0.69182483 0.03907269 0.67545000 -0.11859000 0.72780000
85.03708000 27.93625000 0.43949048 0.01544557 0.69399000 -0.12022000 0.70987000
85.03708000 27.96125000 0.32791065 0.05038391 0.69431000 -0.12024000 0.70956000
85.06875000 27.96125000 0.31636945 0.04010985 0.69209000 -0.12003000 0.71176000
85.06875000 27.93625000 0.45543878 0.01981555 0.69158000 -0.11997000 0.71227000
85.03708000 27.98708300 0.18057796 0.05928176 0.69482000 -0.12028000 0.70906000
